============================================================================================================================================
COMPREHENSIVE MULTIROOM RESULTS  |  Source: experiments/run_20260226_211000_multiroom_30trials_all
  270 total experiments  |  270 timelines loaded
============================================================================================================================================

========================================================================================================================
TABLE 1: FINAL COVERAGE & RELIABILITY
========================================================================================================================
Controller      Fault          N            Mean Cov     Min     Max  Median  Catastrophic   Perfect
------------------------------------------------------------------------------------------------------------------------
             reip spin        :  39.1  54.7  55.7  56.8  61.5  62.0  83.9  84.4  88.0  88.5  93.2  97.4 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0  | mean=88.8 std=18.2
             raft none        :  28.6  57.3  67.7  72.9  79.2  85.9  85.9  88.5  90.6  92.2  92.2  99.0  99.5  99.5 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0  | mean=91.3 std=16.2
             raft bad_leader  :   8.9  29.2  31.8  32.3  44.3  45.3  47.9  49.0  53.1  54.2  54.7  58.3  61.5  62.0  68.2  69.3  71.9  76.6  77.6  78.1  78.6  83.3  86.5  90.1  91.1  92.2  99.0 100.0 100.0 100.0  | mean=66.5 std=24.0
             raft spin        :  31.2  40.6  48.4  49.5  51.6  70.8  73.4  73.4  79.2  82.8  85.9  91.7  93.2  95.8  96.9  98.4  99.0  99.0  99.5  99.5  99.5  99.5 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0  | mean=85.3 std=20.9
    decentralized none        :   2.1  13.0  50.5  52.1  54.7  88.5 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0  | mean=88.7 std=26.4
    decentralized bad_leader  :  60.4  89.6  94.3  94.8  97.4 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0  | mean=97.9 std=7.4
    decentralized spin        :  63.5  64.1  66.1  72.9 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0  | mean=95.6 std=11.6


Done. All tables above.
